datetime,open,high,low,close,vol,band_10,band_9,band_8,band_7,band_6,band_5,mrs_close,RP,MRP,band_4,band_3,band_2,band_1,score
2003-11-28,106.28,106.66,106.201,106.45,10507800.0,,G,G,G,G,G,104.26884615384614,100.0,0.0,B,G,G,B,7.0
2003-12-01,106.85,107.68,106.8,107.6,38358700.0,G,G,G,G,G,G,104.35,100.0,0.0,G,G,G,B,9.0
2003-12-02,107.38,107.77,107.07,107.33,34103300.0,,G,G,G,G,G,104.4025,100.0,0.0,G,G,R,B,7.0
2003-12-03,107.65,108.08,107.08,107.16,38541100.0,,G,G,G,G,G,104.46961538461538,100.0,0.0,B,G,R,B,6.0
2003-12-04,107.17,107.72,106.94,107.6,35890700.0,,G,G,G,G,G,104.56673076923077,100.0,0.0,G,G,R,G,8.0
2003-12-05,107.12,107.8,106.62,106.85,28346500.0,,G,R,G,G,G,104.64192307692308,100.0,0.0,B,G,R,G,6.0
2003-12-08,106.74,107.64,106.68,107.57,32397500.0,,G,R,G,G,G,104.76615384615386,100.0,0.0,B,G,R,G,6.0
2003-12-09,107.9,107.93,106.54,106.74,42074700.0,,G,R,G,G,G,104.89038461538462,100.0,0.0,B,G,R,B,5.0
2003-12-10,106.77,106.98,105.98,106.73,36749400.0,,G,R,R,G,G,105.02076923076923,100.0,0.0,B,G,R,B,4.0
2003-12-11,106.68,108.1,106.67,107.93,43506700.0,G,G,R,G,G,G,105.15538461538462,100.0,0.0,G,G,R,G,8.0
2003-12-12,107.97,108.2,106.65,108.14,33445700.0,G,G,R,G,G,G,105.31288461538462,100.0,0.0,G,G,R,G,8.0
2003-12-15,109.17,109.23,107.48,107.6,37922400.0,,G,R,G,G,G,105.41903846153846,100.0,0.0,B,G,R,G,6.0
2003-12-16,107.68,108.5,107.52,108.16,32626500.0,,G,G,G,G,G,105.52884615384616,100.0,0.0,G,G,R,G,8.0
2003-12-17,108.06,108.5,107.8,108.5,23079900.0,,G,G,G,G,G,105.62711538461538,100.0,0.0,G,G,R,G,8.0
